sample_idx,init_acc,final_acc,improvement,num_changes,total_token_edits,total_edit_steps,psi_escapes,psi_forward_events,psi_net_changes,psi_masks,psi_visible_random,psi_noise_t,converged,early_stopped
184,0.6484375,0.841796875,0.193359375,142,256,128,0,0,0,0,0,0.000896306504728379,0,0
185,0.72265625,0.947265625,0.224609375,122,256,128,0,0,0,0,0,0.000896306504728379,0,0
186,0.654296875,0.87890625,0.224609375,138,256,128,0,0,0,0,0,0.000896306504728379,0,0
187,0.814453125,0.98046875,0.166015625,94,256,128,0,0,0,0,0,0.000896306504728379,0,0
188,0.65625,0.87890625,0.22265625,135,256,128,0,0,0,0,0,0.000896306504728379,0,0
189,0.525390625,0.7890625,0.263671875,157,256,128,0,0,0,0,0,0.000896306504728379,0,0
190,0.74609375,0.94140625,0.1953125,121,256,128,0,0,0,0,0,0.000896306504728379,0,0
191,0.8125,1.0,0.1875,105,254,127,1,2,2,0,2,0.000896306504728379,0,0
192,0.634765625,0.87890625,0.244140625,151,256,128,0,0,0,0,0,0.000896306504728379,0,0
193,0.654296875,0.892578125,0.23828125,148,256,128,0,0,0,0,0,0.000896306504728379,0,0
194,0.810546875,0.935546875,0.125,82,256,128,0,0,0,0,0,0.000896306504728379,0,0
195,0.59765625,0.865234375,0.267578125,158,256,128,0,0,0,0,0,0.000896306504728379,0,0
196,0.74609375,0.958984375,0.212890625,129,256,128,0,0,0,0,0,0.000896306504728379,0,0
197,0.583984375,0.81640625,0.232421875,135,256,128,0,0,0,0,0,0.000896306504728379,0,0
198,0.619140625,0.916015625,0.296875,152,256,128,0,0,0,0,0,0.000896306504728379,0,0
199,0.712890625,0.921875,0.208984375,124,256,128,0,0,0,0,0,0.000896306504728379,0,0
200,0.59375,0.853515625,0.259765625,145,256,128,0,0,0,0,0,0.000896306504728379,0,0
201,0.72265625,0.908203125,0.185546875,118,256,128,0,0,0,0,0,0.000896306504728379,0,0
202,0.56640625,0.81640625,0.25,123,256,128,1,13,13,1,12,0.000896306504728379,0,0
203,0.63671875,0.9375,0.30078125,152,256,128,0,0,0,0,0,0.000896306504728379,0,0
204,0.513671875,0.74609375,0.232421875,156,256,128,0,0,0,0,0,0.000896306504728379,0,0
205,0.662109375,0.896484375,0.234375,138,256,128,0,0,0,0,0,0.000896306504728379,0,0
206,0.5,0.765625,0.265625,154,256,128,0,0,0,0,0,0.000896306504728379,0,0
207,0.75390625,0.970703125,0.216796875,125,256,128,0,0,0,0,0,0.000896306504728379,0,0
208,0.794921875,0.9765625,0.181640625,101,253,127,1,5,5,0,5,0.000896306504728379,0,0
209,0.68359375,0.90234375,0.21875,124,256,128,0,0,0,0,0,0.000896306504728379,0,0
210,0.810546875,0.974609375,0.1640625,102,256,128,0,0,0,0,0,0.000896306504728379,0,0
211,0.73828125,0.939453125,0.201171875,110,256,128,0,0,0,0,0,0.000896306504728379,0,0
212,0.6015625,0.869140625,0.267578125,151,256,128,0,0,0,0,0,0.000896306504728379,0,0
213,0.830078125,0.978515625,0.1484375,83,256,128,0,0,0,0,0,0.000896306504728379,0,0
214,0.533203125,0.80078125,0.267578125,160,256,128,0,0,0,0,0,0.000896306504728379,0,0
215,0.8125,0.96875,0.15625,99,256,128,0,0,0,0,0,0.000896306504728379,0,0
216,0.58203125,0.818359375,0.236328125,147,256,128,0,0,0,0,0,0.000896306504728379,0,0
217,0.822265625,0.984375,0.162109375,94,256,128,0,0,0,0,0,0.000896306504728379,0,0
218,0.712890625,0.9453125,0.232421875,128,256,128,0,0,0,0,0,0.000896306504728379,0,0
219,0.607421875,0.880859375,0.2734375,146,256,128,0,0,0,0,0,0.000896306504728379,0,0
220,0.474609375,0.734375,0.259765625,161,256,128,0,0,0,0,0,0.000896306504728379,0,0
221,0.564453125,0.748046875,0.18359375,125,256,128,0,0,0,0,0,0.000896306504728379,0,0
222,0.59765625,0.841796875,0.244140625,150,256,128,0,0,0,0,0,0.000896306504728379,0,0
223,0.771484375,0.990234375,0.21875,109,256,128,0,0,0,0,0,0.000896306504728379,0,0
224,0.58984375,0.82421875,0.234375,137,256,128,0,0,0,0,0,0.000896306504728379,0,0
225,0.697265625,0.916015625,0.21875,125,256,128,0,0,0,0,0,0.000896306504728379,0,0
226,0.5625,0.8125,0.25,156,256,128,0,0,0,0,0,0.000896306504728379,0,0
227,0.6484375,0.8984375,0.25,146,256,128,0,0,0,0,0,0.000896306504728379,0,0
228,0.611328125,0.8828125,0.271484375,133,256,128,0,0,0,0,0,0.000896306504728379,0,0
229,0.630859375,0.8828125,0.251953125,149,256,128,0,0,0,0,0,0.000896306504728379,0,0
230,0.60546875,0.8671875,0.26171875,151,256,128,0,0,0,0,0,0.000896306504728379,0,0
231,0.681640625,0.900390625,0.21875,138,256,128,0,0,0,0,0,0.000896306504728379,0,0
232,0.634765625,0.873046875,0.23828125,139,256,128,0,0,0,0,0,0.000896306504728379,0,0
233,0.591796875,0.771484375,0.1796875,117,256,128,0,0,0,0,0,0.000896306504728379,0,0
234,0.54296875,0.837890625,0.294921875,147,256,128,0,0,0,0,0,0.000896306504728379,0,0
235,0.849609375,0.986328125,0.13671875,90,256,128,0,0,0,0,0,0.000896306504728379,0,0
236,0.552734375,0.83203125,0.279296875,157,256,128,0,0,0,0,0,0.000896306504728379,0,0
237,0.712890625,0.873046875,0.16015625,104,256,128,1,8,8,0,8,0.000896306504728379,0,0
238,0.5625,0.833984375,0.271484375,160,256,128,0,0,0,0,0,0.000896306504728379,0,0
239,0.541015625,0.810546875,0.26953125,153,256,128,0,0,0,0,0,0.000896306504728379,0,0
240,0.703125,0.8984375,0.1953125,122,256,128,0,0,0,0,0,0.000896306504728379,0,0
241,0.78125,0.955078125,0.173828125,107,256,128,0,0,0,0,0,0.000896306504728379,0,0
242,0.60546875,0.8359375,0.23046875,154,256,128,0,0,0,0,0,0.000896306504728379,0,0
243,0.65234375,0.826171875,0.173828125,132,256,128,0,0,0,0,0,0.000896306504728379,0,0
244,0.634765625,0.8671875,0.232421875,155,256,128,0,0,0,0,0,0.000896306504728379,0,0
245,0.62890625,0.900390625,0.271484375,139,256,128,0,0,0,0,0,0.000896306504728379,0,0
246,0.64453125,0.8203125,0.17578125,109,256,128,1,8,8,0,8,0.000896306504728379,0,0
247,0.884765625,1.0,0.115234375,71,214,110,3,11,11,0,11,0.000896306504728379,1,0
248,0.826171875,0.9609375,0.134765625,77,256,128,1,3,3,0,3,0.000896306504728379,0,0
249,0.70703125,0.896484375,0.189453125,122,256,128,0,0,0,0,0,0.000896306504728379,0,0
250,0.734375,0.96875,0.234375,116,256,128,0,0,0,0,0,0.000896306504728379,0,0
251,0.521484375,0.802734375,0.28125,149,256,128,0,0,0,0,0,0.000896306504728379,0,0
252,0.60546875,0.8515625,0.24609375,143,256,128,0,0,0,0,0,0.000896306504728379,0,0
253,0.607421875,0.8828125,0.275390625,150,256,128,0,0,0,0,0,0.000896306504728379,0,0
254,0.6484375,0.900390625,0.251953125,141,256,128,0,0,0,0,0,0.000896306504728379,0,0
255,0.494140625,0.796875,0.302734375,163,256,128,0,0,0,0,0,0.000896306504728379,0,0
