sample_idx,init_acc,final_acc,improvement,num_changes,total_token_edits,total_edit_steps,psi_escapes,psi_forward_events,psi_net_changes,psi_masks,psi_visible_random,psi_noise_t,converged,early_stopped
175,0.564453125,0.83203125,0.267578125,157,256,128,0,0,0,0,0,0.000896306504728379,0,0
176,0.58203125,0.833984375,0.251953125,159,256,128,0,0,0,0,0,0.000896306504728379,0,0
177,0.75,0.951171875,0.201171875,109,256,128,0,0,0,0,0,0.000896306504728379,0,0
178,0.703125,0.966796875,0.263671875,133,256,128,0,0,0,0,0,0.000896306504728379,0,0
179,0.5,0.8359375,0.3359375,164,256,128,0,0,0,0,0,0.000896306504728379,0,0
180,0.58984375,0.798828125,0.208984375,124,256,128,0,0,0,0,0,0.000896306504728379,0,1
181,0.50390625,0.73828125,0.234375,155,256,128,0,0,0,0,0,0.000896306504728379,0,0
182,0.7265625,0.96484375,0.23828125,119,256,128,0,0,0,0,0,0.000896306504728379,0,0
183,0.634765625,0.904296875,0.26953125,143,256,128,0,0,0,0,0,0.000896306504728379,0,0
184,0.6484375,0.826171875,0.177734375,125,256,128,0,0,0,0,0,0.000896306504728379,0,0
185,0.72265625,0.9375,0.21484375,116,256,128,0,0,0,0,0,0.000896306504728379,0,0
186,0.654296875,0.87109375,0.216796875,143,256,128,0,0,0,0,0,0.000896306504728379,0,0
187,0.814453125,0.96484375,0.150390625,102,256,128,0,0,0,0,0,0.000896306504728379,0,0
188,0.65625,0.869140625,0.212890625,127,256,128,0,0,0,0,0,0.000896306504728379,0,0
189,0.525390625,0.736328125,0.2109375,148,256,128,0,0,0,0,0,0.000896306504728379,0,0
190,0.74609375,0.947265625,0.201171875,117,256,128,0,0,0,0,0,0.000896306504728379,0,0
191,0.8125,0.95703125,0.14453125,89,256,128,0,0,0,0,0,0.000896306504728379,0,0
192,0.634765625,0.83203125,0.197265625,119,244,122,0,0,0,0,0,0.000896306504728379,0,1
193,0.654296875,0.91796875,0.263671875,141,256,128,0,0,0,0,0,0.000896306504728379,0,0
194,0.810546875,0.96875,0.158203125,104,256,128,0,0,0,0,0,0.000896306504728379,0,0
195,0.59765625,0.86328125,0.265625,151,256,128,0,0,0,0,0,0.000896306504728379,0,0
196,0.74609375,0.9609375,0.21484375,117,256,128,0,0,0,0,0,0.000896306504728379,0,0
197,0.583984375,0.873046875,0.2890625,155,256,128,0,0,0,0,0,0.000896306504728379,0,0
198,0.619140625,0.873046875,0.25390625,140,256,128,0,0,0,0,0,0.000896306504728379,0,0
199,0.712890625,0.90234375,0.189453125,123,256,128,0,0,0,0,0,0.000896306504728379,0,0
200,0.59375,0.783203125,0.189453125,121,246,123,0,0,0,0,0,0.000896306504728379,0,1
201,0.72265625,0.916015625,0.193359375,112,256,128,0,0,0,0,0,0.000896306504728379,0,0
202,0.56640625,0.83203125,0.265625,124,256,128,0,0,0,0,0,0.000896306504728379,0,0
203,0.63671875,0.927734375,0.291015625,160,256,128,0,0,0,0,0,0.000896306504728379,0,0
204,0.513671875,0.798828125,0.28515625,151,256,128,0,0,0,0,0,0.000896306504728379,0,0
205,0.662109375,0.919921875,0.2578125,139,256,128,0,0,0,0,0,0.000896306504728379,0,0
206,0.5,0.787109375,0.287109375,158,256,128,0,0,0,0,0,0.000896306504728379,0,0
207,0.75390625,0.9296875,0.17578125,115,256,128,0,0,0,0,0,0.000896306504728379,0,0
208,0.794921875,0.9765625,0.181640625,91,256,128,0,0,0,0,0,0.000896306504728379,0,0
209,0.68359375,0.890625,0.20703125,125,256,128,0,0,0,0,0,0.000896306504728379,0,0
210,0.810546875,0.9765625,0.166015625,104,256,128,0,0,0,0,0,0.000896306504728379,0,0
211,0.73828125,0.9453125,0.20703125,106,256,128,0,0,0,0,0,0.000896306504728379,0,0
212,0.6015625,0.837890625,0.236328125,153,256,128,0,0,0,0,0,0.000896306504728379,0,0
213,0.830078125,0.998046875,0.16796875,99,238,128,0,0,0,0,0,0.000896306504728379,0,0
214,0.533203125,0.744140625,0.2109375,148,256,128,0,0,0,0,0,0.000896306504728379,0,0
215,0.8125,0.94140625,0.12890625,95,234,117,0,0,0,0,0,0.000896306504728379,0,1
216,0.58203125,0.830078125,0.248046875,153,256,128,0,0,0,0,0,0.000896306504728379,0,0
217,0.822265625,0.974609375,0.15234375,100,256,128,0,0,0,0,0,0.000896306504728379,0,0
218,0.712890625,0.923828125,0.2109375,124,256,128,0,0,0,0,0,0.000896306504728379,0,0
219,0.607421875,0.880859375,0.2734375,153,256,128,0,0,0,0,0,0.000896306504728379,0,0
220,0.474609375,0.734375,0.259765625,161,256,128,0,0,0,0,0,0.000896306504728379,0,0
221,0.564453125,0.814453125,0.25,145,256,128,0,0,0,0,0,0.000896306504728379,0,0
222,0.59765625,0.859375,0.26171875,135,256,128,0,0,0,0,0,0.000896306504728379,0,0
223,0.771484375,0.986328125,0.21484375,107,256,128,0,0,0,0,0,0.000896306504728379,0,0
224,0.58984375,0.865234375,0.275390625,156,256,128,0,0,0,0,0,0.000896306504728379,0,0
225,0.697265625,0.9140625,0.216796875,122,256,128,0,0,0,0,0,0.000896306504728379,0,0
226,0.5625,0.84375,0.28125,162,256,128,0,0,0,0,0,0.000896306504728379,0,0
227,0.6484375,0.90234375,0.25390625,136,256,128,0,0,0,0,0,0.000896306504728379,0,0
228,0.611328125,0.865234375,0.25390625,131,256,128,0,0,0,0,0,0.000896306504728379,0,0
229,0.630859375,0.869140625,0.23828125,155,256,128,0,0,0,0,0,0.000896306504728379,0,0
230,0.60546875,0.873046875,0.267578125,163,256,128,0,0,0,0,0,0.000896306504728379,0,0
231,0.681640625,0.900390625,0.21875,131,256,128,0,0,0,0,0,0.000896306504728379,0,0
232,0.634765625,0.890625,0.255859375,147,256,128,0,0,0,0,0,0.000896306504728379,0,0
